name,description,module,path
"augie-violations","Show recent violations. Use when the user says ""/augie:violations"" or ""show violations""","tracker","/mnt/foundry_resources/protocols/tracker/workflows/augie-violations/workflow.md"
"augie-report","Generate compliance report. Use when the user says ""/augie:report"" or ""compliance report""","tracker","/mnt/foundry_resources/protocols/tracker/workflows/augie-report/workflow.md"
"augie-security","Run security-focused scan. Use when the user says ""/augie:security"" or ""security scan""","tracker","/mnt/foundry_resources/protocols/tracker/workflows/augie-security/workflow.md"
"augie-setup","Project onboarding wizard for Augie. Use when the user says ""/augie:setup"" or ""setup augie""","tracker","/mnt/foundry_resources/protocols/tracker/workflows/augie-setup/workflow.md"
"augie-lesson","Accept lesson from Oscar/Sherlock/user. Use when the user says ""/augie:lesson"" or ""teach augie""","tracker","/mnt/foundry_resources/protocols/tracker/workflows/augie-lesson/workflow.md"
"augie-lessons","View rules from lessons learned. Use when the user says ""/augie:lessons"" or ""show lesson rules""","tracker","/mnt/foundry_resources/protocols/tracker/workflows/augie-lessons/workflow.md"
"augie-why","Explain rule provenance. Use when the user says ""/augie:why"" or ""explain rule""","tracker","/mnt/foundry_resources/protocols/tracker/workflows/augie-why/workflow.md"
"augie-docs","Documentation compliance check. Use when the user says ""/augie:docs"" or ""check documentation""","tracker","/mnt/foundry_resources/protocols/tracker/workflows/augie-docs/workflow.md"
"augie-checklist","Pre-PR helper checklist. Use when the user says ""/augie:checklist"" or ""pr checklist""","tracker","/mnt/foundry_resources/protocols/tracker/workflows/augie-checklist/workflow.md"
"augie-trends","Show compliance trends over time. Use when the user says ""/augie:trends"" or ""compliance trends""","tracker","/mnt/foundry_resources/protocols/tracker/workflows/augie-trends/workflow.md"
